-0.230 0.0009
-0.220 0.0014
-0.210 0.0022
-0.200 0.0033
-0.190 0.0052
-0.180 0.0081
-0.170 0.0132
-0.160 0.0220
-0.150 0.0378
-0.140 0.0655
-0.130 0.1096
-0.120 0.1695
-0.110 0.2346
-0.100 0.2906
-0.090 0.3310
-0.080 0.3574
-0.070 0.3739
-0.060 0.3840
-0.050 0.3899
-0.040 0.3929
-0.030 0.3939
-0.020 0.3937
-0.010 0.3931
 0.000 0.3927
 0.010 0.3928
 0.020 0.3933
 0.030 0.3934
 0.040 0.3923
 0.050 0.3893
 0.060 0.3835
 0.070 0.3736
 0.080 0.3577
 0.090 0.3323
 0.100 0.2934
 0.110 0.2388
 0.120 0.1743
 0.130 0.1136
 0.140 0.0681
 0.150 0.0394
 0.160 0.0229
 0.170 0.0137
 0.180 0.0084
 0.190 0.0053
 0.200 0.0035
 0.210 0.0022
 0.220 0.0015
