  0.1975E+00 -0.7574E+01
  0.1987E+00 -0.7161E+01
  0.2000E+00 -0.6765E+01
  0.2013E+00 -0.6436E+01
  0.2025E+00 -0.6118E+01
  0.2037E+00 -0.5812E+01
  0.2050E+00 -0.5519E+01
  0.2062E+00 -0.5202E+01
  0.2075E+00 -0.4870E+01
  0.2087E+00 -0.4504E+01
  0.2100E+00 -0.4113E+01
  0.2112E+00 -0.3714E+01
  0.2125E+00 -0.3279E+01
  0.2137E+00 -0.2841E+01
  0.2150E+00 -0.2420E+01
  0.2163E+00 -0.2039E+01
  0.2175E+00 -0.1711E+01
  0.2188E+00 -0.1410E+01
  0.2200E+00 -0.1161E+01
  0.2212E+00 -0.9551E+00
  0.2225E+00 -0.7867E+00
  0.2237E+00 -0.6475E+00
  0.2250E+00 -0.5292E+00
  0.2262E+00 -0.4317E+00
  0.2275E+00 -0.3551E+00
  0.2287E+00 -0.2918E+00
  0.2300E+00 -0.2391E+00
  0.2312E+00 -0.1977E+00
  0.2325E+00 -0.1633E+00
  0.2338E+00 -0.1354E+00
  0.2350E+00 -0.1491E+00
  0.2362E+00 -0.1246E+00
  0.2375E+00 -0.1048E+00
  0.2387E+00 -0.8930E-01
  0.2400E+00 -0.7771E-01
  0.2412E+00 -0.6903E-01
  0.2425E+00 -0.6280E-01
  0.2437E+00 -0.5955E-01
  0.2450E+00 -0.5875E-01
  0.2462E+00  0.0000E+00
  0.2475E+00  0.0000E+00
  0.2488E+00  0.0000E+00
