 0.0000e+000 0.0000e+000 0.0000e+000 1.0000e+000 
 2.5300e-007 1.0060e-004 5.0299e-003 9.9999e-001 
 1.0120e-006 2.0119e-004 1.0060e-002 9.9995e-001 
 2.2769e-006 3.0178e-004 1.5089e-002 9.9989e-001 
 4.0478e-006 4.0236e-004 2.0118e-002 9.9980e-001 
 6.3246e-006 5.0293e-004 2.5147e-002 9.9968e-001 
 9.1072e-006 6.0349e-004 3.0175e-002 9.9954e-001 
 1.2396e-005 7.0404e-004 3.5202e-002 9.9938e-001 
 1.6190e-005 8.0456e-004 4.0228e-002 9.9919e-001 
 2.0489e-005 9.0507e-004 4.5253e-002 9.9898e-001 
 2.5294e-005 1.0056e-003 5.0278e-002 9.9874e-001 
 3.0605e-005 1.1060e-003 5.5300e-002 9.9847e-001 
 3.6420e-005 1.2064e-003 6.0322e-002 9.9818e-001 
 4.2741e-005 1.3068e-003 6.5342e-002 9.9786e-001 
 4.9567e-005 1.4072e-003 7.0360e-002 9.9752e-001 
 5.6897e-005 1.5075e-003 7.5377e-002 9.9716e-001 
 6.4732e-005 1.6078e-003 8.0391e-002 9.9676e-001 
 7.3071e-005 1.7081e-003 8.5404e-002 9.9635e-001 
 8.1915e-005 1.8083e-003 9.0414e-002 9.9590e-001 
 9.1262e-005 1.9084e-003 9.5422e-002 9.9544e-001 
 1.0111e-004 2.0086e-003 1.0043e-001 9.9494e-001 
 1.1147e-004 2.1086e-003 1.0543e-001 9.9443e-001 
 1.2233e-004 2.2086e-003 1.1043e-001 9.9388e-001 
 1.3369e-004 2.3086e-003 1.1543e-001 9.9332e-001 
 1.4555e-004 2.4085e-003 1.2042e-001 9.9272e-001 
 1.5791e-004 2.5083e-003 1.2542e-001 9.9210e-001 
 1.7078e-004 2.6081e-003 1.3040e-001 9.9146e-001 
 1.8415e-004 2.7078e-003 1.3539e-001 9.9079e-001 
 1.9802e-004 2.8074e-003 1.4037e-001 9.9010e-001 
 2.1239e-004 2.9070e-003 1.4535e-001 9.8938e-001 
 2.2726e-004 3.0065e-003 1.5032e-001 9.8864e-001 
 2.4264e-004 3.1059e-003 1.5530e-001 9.8787e-001 
 2.5851e-004 3.2052e-003 1.6026e-001 9.8707e-001 
 2.7488e-004 3.3045e-003 1.6522e-001 9.8626e-001 
 2.9175e-004 3.4037e-003 1.7018e-001 9.8541e-001 
 3.0912e-004 3.5028e-003 1.7514e-001 9.8454e-001 
 3.2699e-004 3.6018e-003 1.8009e-001 9.8365e-001 
 3.4535e-004 3.7007e-003 1.8503e-001 9.8273e-001 
 3.6422e-004 3.7995e-003 1.8997e-001 9.8179e-001 
 3.8357e-004 3.8982e-003 1.9491e-001 9.8082e-001 
 4.0343e-004 3.9968e-003 1.9984e-001 9.7983e-001 
 4.2378e-004 4.0953e-003 2.0477e-001 9.7881e-001 
 4.4463e-004 4.1937e-003 2.0969e-001 9.7777e-001 
 4.6597e-004 4.2920e-003 2.1460e-001 9.7670e-001 
 4.8780e-004 4.3902e-003 2.1951e-001 9.7561e-001 
 4.9988e-004 4.4889e-003 2.2189e-002 9.9975e-001 
 4.9219e-004 4.5880e-003 -1.7601e-001 9.8439e-001 
 4.6506e-004 4.6836e-003 -3.6725e-001 9.3012e-001 
 4.1955e-004 4.7720e-003 -5.4399e-001 8.3909e-001 
 3.5745e-004 4.8496e-003 -6.9922e-001 7.1491e-001 
 2.8124e-004 4.9134e-003 -8.2682e-001 5.6247e-001 
 1.9390e-004 4.9609e-003 -9.2174e-001 3.8780e-001 
 9.8905e-005 4.9901e-003 -9.8024e-001 1.9781e-001 
 3.0616e-020 5.0000e-003 -1.0000e+000 6.1232e-017 
 -1.0060e-004 5.0000e-003 -1.0000e+000 0.0000e+000 
 -2.8206e-004 5.0000e-003 -1.0000e+000 0.0000e+000 
 -5.4439e-004 5.0000e-003 -1.0000e+000 0.0000e+000 
 -8.8759e-004 5.0000e-003 -1.0000e+000 0.0000e+000 
 -1.3117e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -1.8166e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -2.4024e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -3.0691e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -3.8166e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -4.6450e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -5.5543e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -6.5444e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -7.6154e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -8.7673e-003 5.0000e-003 -1.0000e+000 0.0000e+000 
 -1.0000e-002 5.0000e-003 -1.0000e+000 0.0000e+000 
 -1.0000e-002 6.0000e-003 1.0000e+000 0.0000e+000 
